,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
23,standard,Adagrad,Adagrad,100.0,92.5,0.00018255989755555836,0.5090982705354691,7.5,150.0,54092.46917538448,SimpleBatch
24,SAM,SGD 0.1,SGD,99.95333099365234,93.36000061035156,0.001331775504042025,0.479062819480896,6.593330383300781,150.0,15367.789378266521,SimpleBatch
25,SAM,Adam,Adam,99.90833282470703,92.72999572753906,0.002955478561079787,0.7540327847003937,7.178337097167969,150.0,27227.692932824906,SimpleBatch
26,SAM,AdaBound,AdaBound,99.96333312988281,93.14999389648438,0.0011384032878384088,0.5021822363138199,6.8133392333984375,150.0,16616.874796987493,SimpleBatch
27,SAM,Adagrad,Adagrad,99.86499786376953,93.22999572753906,0.003640859851924909,0.3541981756687164,6.635002136230469,150.0,12114.810225232955,SimpleBatch
28,standard,PHB 0.1 0.8,PHB,100.0,92.13999938964844,5.596063165323943e-05,0.5434809267520905,7.8600006103515625,150.0,50907.405428108854,SimpleBatch
29,SAM,AdaShift,AdaShift,99.79499816894531,92.97000122070312,0.0051309541479978805,0.3880476951599121,6.8249969482421875,150.0,23575.918642428664,SimpleBatch
30,SAM,PHB 0.1 0.8,PHB,100.0,93.45999908447266,1.839069137520155e-05,0.6827518790960312,6.540000915527344,150.0,28805.949972567974,SimpleBatch
31,standard,SGD 0.1,SGD,100.0,92.73999786376953,1.0603691396202838e-05,0.5840060859918594,7.260002136230469,200.0,50604.487658264,SimpleBatch
32,standard,Adam,Adam,99.89500427246094,92.44999694824219,0.0033671339835707696,1.0669716358184815,7.44500732421875,200.0,115847.45964521621,SimpleBatch
33,standard,AdaBound,AdaBound,100.0,92.68999481201172,3.8598821381588395e-05,0.5813300162553787,7.310005187988281,200.0,70410.42798667349,SimpleBatch
34,standard,AdaShift,AdaShift,99.91500091552734,92.45999908447266,0.002189736631629909,0.8265062212944031,7.4550018310546875,200.0,61683.40780605154,SimpleBatch
35,standard,Adagrad,Adagrad,100.0,92.6199951171875,6.948839691060192e-05,0.5305145144462585,7.3800048828125,200.0,310425.3074863866,SimpleBatch
36,SAM,SGD 0.1,SGD,99.98833465576172,93.5199966430664,0.00043887464291230907,0.5297260612249375,6.4683380126953125,200.0,26587.25232226626,SimpleBatch
37,SAM,Adam,Adam,99.86833190917969,92.52999877929688,0.004058380919108426,0.9119331896305084,7.3383331298828125,200.0,49995.84633929483,SimpleBatch
38,SAM,AdaBound,AdaBound,99.98333740234375,93.19999694824219,0.0006861808233898899,0.5526517331600189,6.7833404541015625,200.0,29908.347795025635,SimpleBatch
39,SAM,Adagrad,Adagrad,99.9366683959961,93.3699951171875,0.002413100073530303,0.3744474440813065,6.566673278808594,200.0,28253.542290328325,SimpleBatch
40,standard,PHB 0.1 0.8,PHB,100.0,92.13999938964844,2.8020784834736842e-05,0.5677617460489273,7.8600006103515625,200.0,150857.2575444621,SimpleBatch
41,SAM,AdaShift,AdaShift,99.85166931152344,93.04999542236328,0.0038081384396885702,0.4127212703227997,6.801673889160156,200.0,23564.540692517603,SimpleBatch
42,SAM,PHB 0.1 0.8,PHB,100.0,93.52999877929688,1.889218025635714e-05,0.7148778706789016,6.470001220703125,200.0,39155.24991552037,SimpleBatch
43,standard,SGD 0.1,SGD,99.711669921875,92.39999389648438,0.008762965601350644,0.42469821572303773,7.311676025390625,converged,54812.88849387634,SimpleBatch
44,standard,Adam,Adam,99.84666442871094,92.25999450683594,0.005010340208351556,0.7145156919956207,7.586669921875,converged,78887.24651684402,SimpleBatch
45,standard,AdaBound,AdaBound,99.72166442871094,92.50999450683594,0.00907671023574747,0.4240226745605469,7.211669921875,converged,47928.199989651745,SimpleBatch
46,standard,AdaShift,AdaShift,99.7750015258789,92.52999877929688,0.006794456317067655,0.5021808624267579,7.245002746582031,converged,45586.26031455594,SimpleBatch
47,standard,Adagrad,Adagrad,99.86333465576172,92.54999542236328,0.008941527571715811,0.33195825219154357,7.3133392333984375,converged,105184.49055863719,SimpleBatch
48,SAM,SGD 0.1,SGD,99.6050033569336,93.11000061035156,0.009809939501517172,0.3460058271884918,6.495002746582031,converged,15007.42472426795,SimpleBatch
49,SAM,Adam,Adam,99.63166809082031,92.97999572753906,0.009033187772721676,0.4589089900255203,6.65167236328125,converged,17949.02113752731,SimpleBatch
50,SAM,AdaBound,AdaBound,99.67166900634766,93.15999603271484,0.00852644594653305,0.36254750192165375,6.5116729736328125,converged,16754.842909326126,SimpleBatch
51,SAM,Adagrad,Adagrad,99.66000366210938,93.41999816894531,0.00957674343947635,0.30085851699113847,6.2400054931640625,converged,23760.833244701913,SimpleBatch
52,standard,PHB 0.1 0.8,PHB,99.71333312988281,91.70999908447266,0.009907892699773385,0.4052944540977478,8.003334045410156,converged,95233.87126268476,SimpleBatch
53,SAM,AdaShift,AdaShift,99.6683349609375,93.06999969482422,0.009427475320276563,0.34675303399562835,6.598335266113281,converged,22062.58871440473,SimpleBatch
54,SAM,PHB 0.1 0.8,PHB,99.61833190917969,93.06999969482422,0.009424724169686111,0.41166683435440066,6.548332214355469,converged,16364.830220753563,SimpleBatch
0,standard,SGD 0.1,SGD,100.0,93.66999816894531,1.0999245254519771e-05,0.47896507382392883,6.3300018310546875,50.0,122085.5181221632,MiddleBatch
1,SAM,Adam,Adam,99.70166778564453,93.22999572753906,0.0077180489986777,0.37440485656261446,6.471672058105469,50.0,15417.39105496949,MiddleBatch
2,SAM,AdaBound,AdaBound,99.63333129882812,94.16999816894531,0.009052829853053501,0.26991664320230485,5.4633331298828125,50.0,32143.35809563186,MiddleBatch
3,standard,Adam,Adam,99.73500061035156,93.3699951171875,0.0076508950482741195,0.5009674727916718,6.3650054931640625,50.0,65468.03729399276,MiddleBatch
4,standard,Adagrad,Adagrad,100.0,93.0,9.719527393373088e-05,0.49295438528060914,7.0,50.0,543965.340101812,MiddleBatch
5,standard,AdaShift,AdaShift,99.78500366210938,92.36000061035156,0.006283495616964291,0.5295048087835312,7.4250030517578125,50.0,245388.52063458937,MiddleBatch
6,SAM,SGD 0.1,SGD,99.6933364868164,94.19999694824219,0.00834508790303943,0.28138166218996047,5.493339538574219,50.0,16258.333523029376,MiddleBatch
7,standard,PHB 0.1 0.8,PHB,100.0,93.5,1.9957916980499554e-05,0.41529093980789183,6.5,50.0,209101.86872719758,MiddleBatch
8,standard,AdaBound,AdaBound,99.90666961669922,93.6199951171875,0.0029344441585798546,0.48428877294063566,6.286674499511719,50.0,112556.38964099559,MiddleBatch
9,standard,SGD 0.1,SGD,100.0,93.70999908447266,2.6532960938701372e-05,0.4561331897974014,6.290000915527344,100.0,85200.58106311996,MiddleBatch
10,SAM,Adam,Adam,99.84166717529297,93.23999786376953,0.005049716643486808,0.5292290866374969,6.6016693115234375,100.0,22864.152460805668,MiddleBatch
11,SAM,AdaBound,AdaBound,99.8183364868164,94.25,0.004100648916789487,0.35066141933202744,5.568336486816406,100.0,42586.47678936878,MiddleBatch
12,SAM,Adagrad,Adagrad,99.85166931152344,93.83999633789062,0.0035676607782343106,0.3236536204814911,6.0116729736328125,100.0,36276.830874110434,MiddleBatch
13,standard,Adam,Adam,99.70333099365234,92.82999420166016,0.011150061446593975,0.6440350919961929,6.8733367919921875,100.0,66264.93628807175,MiddleBatch
14,standard,Adagrad,Adagrad,99.96833801269531,92.6199951171875,0.0013846486752237769,0.4791914999485016,7.3483428955078125,100.0,491147.9773114388,MiddleBatch
15,standard,AdaShift,AdaShift,99.9000015258789,92.57999420166016,0.002936917571047677,0.5806176573038101,7.32000732421875,100.0,164912.52251275585,MiddleBatch
16,SAM,SGD 0.1,SGD,99.89666748046875,94.41999816894531,0.002429986635769519,0.3662191778421402,5.4766693115234375,100.0,21081.96417575638,MiddleBatch
17,standard,PHB 0.1 0.8,PHB,100.0,93.58999633789062,9.845936152954764e-06,0.43266882598400114,6.410003662109375,100.0,226595.81501324486,MiddleBatch
18,SAM,AdaShift,AdaShift,99.80999755859375,93.98999786376953,0.004087018946128369,0.34334581196308134,5.819999694824219,100.0,19307.539498836777,MiddleBatch
19,standard,AdaBound,AdaBound,99.98333740234375,93.75,0.0008447724606171088,0.5160460621118546,6.23333740234375,100.0,119791.46878748048,MiddleBatch
20,SAM,PHB 0.01 0.8,PHB,99.85166931152344,94.43999481201172,0.0037456454699491657,0.3072539195418358,5.411674499511719,100.0,20734.469456907504,MiddleBatch
21,standard,SGD 0.1,SGD,100.0,93.7699966430664,5.2057695135534e-06,0.4980004370212555,6.230003356933594,150.0,104267.4581363241,MiddleBatch
22,SAM,Adam,Adam,99.94499969482422,93.62999725341797,0.001886870542867447,0.6161829650402069,6.31500244140625,150.0,23309.481807573753,MiddleBatch
23,SAM,AdaBound,AdaBound,99.9433364868164,94.39999389648438,0.0014401491073635516,0.4327512353658676,5.543342590332031,150.0,56143.05615198532,MiddleBatch
24,SAM,Adagrad,Adagrad,99.93333435058594,93.8699951171875,0.0018962619312637575,0.3664701759815216,6.0633392333984375,150.0,42563.63511386018,MiddleBatch
25,standard,Adam,Adam,100.0,93.57999420166016,4.888286404338153e-06,0.7232937216758728,6.420005798339844,150.0,68737.49081819254,MiddleBatch
26,standard,Adagrad,Adagrad,100.0,92.77999877929688,2.8169217418036964e-05,0.5484710514545441,7.220001220703125,150.0,617549.5382219533,MiddleBatch
27,standard,AdaShift,AdaShift,99.99500274658203,92.83999633789062,0.00014810585756148037,0.6150765389204025,7.155006408691406,150.0,136194.36237243484,MiddleBatch
28,SAM,SGD 0.1,SGD,99.94000244140625,94.44999694824219,0.001828200058795945,0.4111811459064484,5.4900054931640625,150.0,26447.154505091796,MiddleBatch
29,standard,PHB 0.1 0.8,PHB,99.7750015258789,92.64999389648438,0.007008637945065143,0.42171731889247893,7.125007629394531,150.0,208372.6472687085,MiddleBatch
30,SAM,AdaShift,AdaShift,99.86499786376953,94.1199951171875,0.0028806177918715105,0.39806450009346006,5.745002746582031,150.0,22908.867291496863,MiddleBatch
31,standard,AdaBound,AdaBound,100.0,93.93999481201172,5.1775844688794914e-06,0.5439611971378326,6.060005187988281,150.0,147219.28056496885,MiddleBatch
32,SAM,PHB 0.01 0.8,PHB,99.91166687011719,94.44999694824219,0.0018979512941844547,0.35120075941085815,5.461669921875,150.0,24129.799755735134,MiddleBatch
33,standard,SGD 0.1,SGD,100.0,93.79999542236328,6.022807643707049e-06,0.509210342168808,6.200004577636719,200.0,112950.60411011643,MiddleBatch
34,SAM,Adam,Adam,99.87166595458984,93.58999633789062,0.004364337177920302,0.6194556921720504,6.281669616699219,200.0,25335.283396297968,MiddleBatch
35,SAM,AdaBound,AdaBound,100.0,94.50999450683594,3.50180967328918e-05,0.5063764840364456,5.4900054931640625,200.0,63965.76257312622,MiddleBatch
36,SAM,Adagrad,Adagrad,99.9866714477539,93.97999572753906,0.0005130248635062582,0.39120261669158934,6.006675720214844,200.0,47114.64007851912,MiddleBatch
37,standard,Adam,Adam,100.0,93.65999603271484,2.386134179193501e-07,0.8013640642166138,6.340003967285156,200.0,70524.26238349588,MiddleBatch
38,standard,Adagrad,Adagrad,100.0,92.90999603271484,2.1788052591160243e-05,0.5611393392086029,7.090003967285156,200.0,654705.8553172532,MiddleBatch
39,standard,AdaShift,AdaShift,10.0,10.0,,,0.0,200.0,,MiddleBatch
40,SAM,SGD 0.1,SGD,99.95000457763672,94.6199951171875,0.001258693911271104,0.4689150512218475,5.330009460449219,200.0,31725.34772990942,MiddleBatch
41,standard,PHB 0.1 0.8,PHB,100.0,93.3699951171875,9.43873517555911e-06,0.48238389790058134,6.6300048828125,200.0,225402.08658926,MiddleBatch
42,standard,AdaBound,AdaBound,100.0,93.93000030517578,2.879442219584505e-06,0.5606709539890289,6.069999694824219,200.0,153060.67405826293,MiddleBatch
43,SAM,AdaShift,AdaShift,99.94499969482422,94.11000061035156,0.0015746585581997265,0.46123256385326383,5.834999084472656,200.0,28099.646055035253,MiddleBatch
44,standard,SGD 0.1,SGD,99.67666625976562,93.07999420166016,0.009184984485559197,0.3731333643198013,6.596672058105469,converged,82439.83322598794,MiddleBatch
45,SAM,Adam,Adam,99.66333770751953,93.5199966430664,0.008980662116769955,0.3518749862909317,6.143341064453125,converged,16435.81210481438,MiddleBatch
