,Minimization,optim,Optimizer,training_accuracy,Validation accuracy,training_loss,val_loss,Generalization gap,epoch,Sharpness,Architecture
32,standard,PHB 0.01 0.8,PHB,100.0,77.04000091552734,8.372341928216229e-05,1.635663592815399,22.959999084472656,200.0,65376.684582546324,SimpleBatch
33,SAM,AdaShift 0.01,AdaShift,99.61000061035156,78.55999755859375,0.009905052030302139,1.6319072842597961,21.050003051757812,200.0,27731.535050211973,SimpleBatch
34,standard,SGD 0.1,SGD,99.86599731445312,79.19999694824219,0.006576626787118166,1.1759793043136597,20.666000366210938,converged,32633.712003452245,SimpleBatch
35,SAM,Adagrad,Adagrad,99.72200012207031,76.1199951171875,0.009750694961553855,1.1459904909133911,23.602005004882812,converged,15338.325493292556,SimpleBatch
36,standard,Adam,Adam,99.69400024414062,76.54000091552734,0.009054086980535073,2.802506113052368,23.15399932861328,converged,75719.29800311943,SimpleBatch
37,standard,Adagrad,Adagrad,99.97200012207031,74.93999481201172,0.009619764112474402,1.1478456139564515,25.032005310058594,converged,53092.87001594647,SimpleBatch
38,standard,AdaBound,AdaBound,99.80599975585938,77.6199951171875,0.008232613637819505,1.349166214466095,22.186004638671875,converged,38481.27264086701,SimpleBatch
39,SAM,Adam,Adam,99.60799407958984,77.75,0.009877124972346857,1.879961895942688,21.857994079589844,converged,25406.53435339897,SimpleBatch
40,SAM,AdaBound,AdaBound,99.68399810791016,78.81999969482422,0.009696705920218021,1.2570773720741273,20.863998413085938,converged,15104.210733096541,SimpleBatch
41,SAM,SGD 0.1,SGD,99.63399505615234,79.73999786376953,0.00964066105560683,1.0962790489196776,19.893997192382812,converged,14160.064195364988,SimpleBatch
42,SAM,PHB 0.01 0.8,PHB,99.64999389648438,79.41999816894531,0.009956353856429286,1.0952968537807464,20.229995727539062,converged,28736.12087210598,SimpleBatch
43,SAM,AdaShift 0.01,AdaShift,99.60199737548828,79.13999938964844,0.009633627591480185,1.3899388432502746,20.461997985839844,converged,27024.821972042402,SimpleBatch
44,standard,AdaShift 0.01,AdaShift,99.68399810791016,77.75,0.009084602552050751,1.883088731765747,21.933998107910156,converged,89429.5680475699,SimpleBatch
45,standard,PHB 0.01 0.8,PHB,99.86799621582031,76.9000015258789,0.00883764562541214,1.194845235347748,22.967994689941406,converged,99917.91815246396,SimpleBatch
0,standard,SGD 0.1,SGD,100.0,84.68000030517578,3.1109238664814714e-05,1.052203392982483,15.319999694824219,50.0,48409.624187153095,MiddleBatch
1,standard,Adagrad,Adagrad,99.9959945678711,80.66999816894531,0.0011296733391180616,0.9786234855651855,19.32599639892578,50.0,89459.7434912206,MiddleBatch
2,standard,AdaBound,AdaBound,100.0,84.97000122070312,2.120828017738517e-05,1.118217647075653,15.029998779296875,50.0,44706.82568568059,MiddleBatch
3,standard,PHB 0.1 0.8,PHB,100.0,83.73999786376953,6.266127175456026e-05,0.9778442084789276,16.26000213623047,50.0,60585.6368510712,MiddleBatch
4,standard,AdaShift 0.01,AdaShift,99.68799591064453,82.72999572753906,0.009059928758355701,1.2934152603149414,16.95800018310547,50.0,87409.2763557943,MiddleBatch
5,standard,SGD 0.1,SGD,100.0,84.69999694824219,1.3041447147161236e-05,1.105542641878128,15.300003051757812,100.0,54686.07555540122,MiddleBatch
6,standard,Adagrad,Adagrad,99.99199676513672,80.6199951171875,0.0005784943120402541,1.0902961254119874,19.37200164794922,100.0,110891.02564657523,MiddleBatch
7,standard,AdaBound,AdaBound,100.0,84.9000015258789,1.0220247100056217e-05,1.1595960676670074,15.099998474121094,100.0,49166.22030880429,MiddleBatch
8,SAM,SGD 0.1,SGD,99.7959976196289,86.07999420166016,0.005763494705311213,0.768045848608017,13.71600341796875,100.0,11360.513336543494,MiddleBatch
9,SAM,PHB 0.1 0.8,PHB,99.74800109863281,86.29000091552734,0.00735509192307993,0.65939901471138,13.458000183105469,100.0,10046.708313049325,MiddleBatch
10,SAM,Adam,Adam,99.55999755859375,84.08999633789062,0.012891638216443771,1.1257860898971557,15.470001220703125,100.0,15772.315452073835,MiddleBatch
11,SAM,AdaBound,AdaBound,99.69599914550781,84.72999572753906,0.007642513325242439,0.902846610546112,14.96600341796875,100.0,11143.104789176477,MiddleBatch
12,SAM,Adagrad,Adagrad,99.76799774169922,81.5999984741211,0.007360076375306844,0.7838856697082519,18.167999267578125,100.0,15166.62280625872,MiddleBatch
13,standard,PHB 0.1 0.8,PHB,100.0,83.73999786376953,2.158085241724323e-05,1.030679702758789,16.26000213623047,100.0,68269.50337024723,MiddleBatch
14,standard,AdaShift 0.01,AdaShift,99.80999755859375,83.31999969482422,0.006235701124883944,1.6185418128967286,16.48999786376953,100.0,71580.87618701688,MiddleBatch
15,SAM,AdaShift 0.01,AdaShift,99.68399810791016,84.86000061035156,0.008060317607685094,0.8485102891921997,14.823997497558594,100.0,15469.396671361888,MiddleBatch
16,standard,SGD 0.1,SGD,100.0,84.5999984741211,1.7020615895085017e-05,1.1136018753051757,15.400001525878906,150.0,52262.671963383305,MiddleBatch
17,standard,Adam,Adam,99.78399658203125,83.88999938964844,0.009141860751969445,2.328991484642029,15.893997192382812,150.0,106283.42453881228,MiddleBatch
18,standard,Adagrad,Adagrad,100.0,80.55999755859375,0.000250952286825008,1.085317075252533,19.44000244140625,150.0,103955.73422461643,MiddleBatch
19,standard,AdaBound,AdaBound,100.0,84.90999603271484,7.78606555414903e-06,1.1840287566184997,15.090003967285156,150.0,51526.64487359425,MiddleBatch
20,SAM,SGD 0.1,SGD,99.86799621582031,85.80999755859375,0.003316923920767732,0.8366325318813324,14.057998657226562,150.0,12822.908568426517,MiddleBatch
21,SAM,PHB 0.1 0.8,PHB,99.80799865722656,86.22000122070312,0.005067962396182352,0.7011298298835754,13.587997436523438,150.0,10655.195311618258,MiddleBatch
22,SAM,Adam,Adam,99.74800109863281,84.40999603271484,0.007617885897273847,1.4664957523345947,15.338005065917969,150.0,24847.445242079015,MiddleBatch
23,SAM,AdaBound,AdaBound,99.8499984741211,84.4000015258789,0.004087327147159237,1.041134488582611,15.449996948242188,150.0,13873.4616902607,MiddleBatch
24,SAM,Adagrad,Adagrad,99.90999603271484,81.8699951171875,0.0035893430597210767,0.8125168919563294,18.040000915527344,150.0,15829.14447778692,MiddleBatch
25,standard,PHB 0.1 0.8,PHB,100.0,83.68000030517578,3.2585213637252116e-05,1.0361514270305634,16.31999969482422,150.0,60565.29579016291,MiddleBatch
26,standard,AdaShift 0.01,AdaShift,99.90999603271484,83.3499984741211,0.0028175271459894373,1.766317069530487,16.55999755859375,150.0,74497.01800707438,MiddleBatch
27,SAM,AdaShift 0.01,AdaShift,99.81999969482422,85.25,0.004663334217141424,1.0583579123020173,14.569999694824219,150.0,23397.68857357092,MiddleBatch
28,standard,SGD 0.1,SGD,100.0,84.61000061035156,9.361351685921222e-06,1.1473380386829377,15.389999389648438,200.0,47270.449840048794,MiddleBatch
29,standard,Adam,Adam,99.78799438476562,83.77999877929688,0.010033784996541258,2.5931930541992188,16.00799560546875,200.0,125334.55286310377,MiddleBatch
30,standard,Adagrad,Adagrad,100.0,80.20999908447266,0.00014222644654589723,1.1362478137016296,19.790000915527344,200.0,112706.94186802245,MiddleBatch
31,standard,AdaBound,AdaBound,100.0,84.75999450683594,1.030464988533429e-05,1.1979589343070984,15.240005493164062,200.0,55078.38214111176,MiddleBatch
32,SAM,SGD 0.1,SGD,99.91999816894531,86.37999725341797,0.001907094821547307,0.880325311422348,13.540000915527344,200.0,14492.634033747789,MiddleBatch
33,SAM,PHB 0.1 0.8,PHB,99.86199951171875,86.06999969482422,0.0036934286532121175,0.7543702721595764,13.791999816894531,200.0,11624.263172720162,MiddleBatch
34,SAM,Adam,Adam,99.71199798583984,84.27999877929688,0.010789685261329536,2.1175341606140137,15.431999206542969,200.0,45614.06767611942,MiddleBatch
35,SAM,AdaBound,AdaBound,99.8699951171875,84.95999908447266,0.0037282614619813066,1.1046564996242523,14.909996032714844,200.0,27263.408188343004,MiddleBatch
36,standard,PHB 0.1 0.8,PHB,100.0,83.93999481201172,2.6907641931454707e-05,1.058992874622345,16.06000518798828,200.0,240118.32351890494,MiddleBatch
37,SAM,Adagrad,Adagrad,99.88800048828125,81.93000030517578,0.0036790502350539196,0.8325546264648438,17.95800018310547,200.0,48707.827477451894,MiddleBatch
38,standard,AdaShift 0.01,AdaShift,99.73799896240234,83.41999816894531,0.00821827870112954,1.847858190536499,16.31800079345703,200.0,80935.36412696286,MiddleBatch
39,SAM,AdaShift 0.01,AdaShift,99.89599609375,85.13999938964844,0.002645338721873612,1.3156409502029418,14.755996704101562,200.0,32112.85981904892,MiddleBatch
